0,0,M,1,1,1079
0,1,M,3,1,143
0,2,F,4,0,112
0,3,F,0,1,169
0,4,M,2,0,40
0,5,M,3,0,160
0,6,M,5,1,192
0,7,F,2,0,8
0,8,F,1,1,216
0,9,F,0,1,192
0,10,F,3,1,183
0,11,F,1,1,192
0,12,F,0,1,199
0,13,F,2,1,185
0,14,M,1,0,104
0,15,F,5,0,72
0,16,M,0,0,104
0,17,M,1,1,200
0,18,M,5,1,192
0,19,F,3,0,80
1,0,GH,0,0,223
1,1,RH,3,0,225
1,2,RH,0,1,215
1,3,RH,5,1,192
1,4,RH,3,2,216
1,5,GH,4,0,184
1,6,RH,5,0,72
1,7,RH,4,1,208
1,8,GH,1,0,120
1,9,RH,5,0,80
1,10,GH,3,0,128
1,11,RH,0,0,72
1,12,RH,2,1,200
1,13,GH,4,0,136
1,14,GH,0,1,208
1,15,GH,4,1,216
1,16,GH,0,1,217
1,17,GH,3,1,207
1,18,GH,1,1,200
1,19,RH,0,0,80
2,0,M,5,0,279
2,1,GH,1,1,224
2,2,F,0,0,136
2,3,GH,4,0,48
2,4,F,5,0,152
2,5,RH,3,1,200
2,6,F,1,1,208
2,7,RH,4,1,200
2,8,F,2,1,216
2,9,RH,3,1,208
2,10,F,1,2,264
2,11,GH,5,0,144
2,12,M,3,1,192
2,13,RH,1,0,88
2,14,F,4,1,208
2,15,GH,2,0,120
2,16,M,5,1,200
2,17,GH,1,1,200
2,18,F,1,0,80
2,19,GH,4,0,112
2,20,M,2,1,191
2,21,GH,5,1,200
2,22,F,5,0,103
2,23,GH,3,0,88
2,24,M,4,1,192
2,25,GH,0,1,200
2,26,M,0,1,216
2,27,RH,4,0,120
2,28,F,3,1,208
2,29,GH,1,0,72
2,30,F,2,0,136
2,31,GH,2,0,56
2,32,F,5,0,168
2,33,GH,3,0,48
2,34,M,3,1,328
2,35,GH,1,1,240
2,36,F,4,0,112
2,37,RH,0,1,224
2,38,M,0,0,80
2,39,RH,3,0,152
3,0,F,3,1,415
3,1,GH,4,0,80
3,2,M,5,1,231
3,3,GH,0,1,232
3,4,M,2,1,208
3,5,RH,5,0,120
3,6,M,5,0,80
3,7,RH,2,0,136
3,8,F,1,1,216
3,9,GH,5,0,64
3,10,F,5,0,184
3,11,RH,2,2,304
3,12,F,1,1,216
3,13,RH,5,1,224
3,14,F,3,1,232
3,15,GH,0,0,104
3,16,M,0,1,208
3,17,GH,4,1,248
3,18,M,1,1,256
3,19,GH,1,1,272
3,20,M,5,1,297
3,21,GH,4,1,297
3,22,M,0,1,232
3,23,GH,1,1,240
3,24,F,3,0,96
3,25,GH,4,0,104
3,26,F,0,0,96
3,27,GH,3,0,128
3,28,F,4,0,72
3,29,RH,2,1,199
3,30,F,1,1,232
3,31,RH,1,1,257
3,32,M,2,0,128
3,33,RH,2,0,96
3,34,F,4,1,200
3,35,GH,5,0,96
3,36,F,2,0,80
3,37,GH,3,4,1791
3,38,M,5,0,160
3,39,RH,1,0,105
4,0,F,0,0,207
4,1,F,1,1,201
4,2,M,5,0,144
4,3,M,2,2,279
4,4,M,0,1,264
4,5,F,2,0,112
4,6,F,5,1,257
4,7,M,2,0,160
4,8,F,5,0,71
4,9,M,2,0,160
4,10,F,1,0,81
4,11,M,5,0,191
4,12,M,3,2,312
4,13,F,4,0,112
4,14,F,5,1,215
4,15,M,1,0,160
4,16,F,2,0,64
4,17,F,3,0,192
4,18,M,1,0,8
4,19,M,3,1,304
5,0,M,2,1,367
5,1,RH,0,1,249
5,2,M,4,2,321
5,3,GH,4,0,120
5,4,M,3,0,128
5,5,RH,3,1,224
5,6,F,2,0,48
5,7,GH,1,0,176
5,8,F,0,1,208
5,9,GH,0,1,200
5,10,M,5,0,144
5,11,GH,1,0,64
5,12,F,2,0,168
5,13,RH,5,0,136
5,14,M,5,1,239
5,15,RH,3,1,201
5,16,M,1,1,256
5,17,RH,5,1,247
5,18,F,3,0,89
5,19,GH,2,1,183
5,20,F,1,1,192
5,21,GH,4,1,249
5,22,M,2,0,184
5,23,RH,5,1,287
5,24,M,1,1,233
5,25,RH,2,1,232
5,26,M,5,1,232
5,27,RH,0,1,240
5,28,F,0,0,47
5,29,GH,4,1,232
5,30,M,3,1,304
5,31,GH,5,0,112
5,32,F,5,1,200
5,33,GH,2,1,184
5,34,M,4,0,184
5,35,RH,4,1,249
5,36,M,0,1,231
5,37,GH,3,0,104
5,38,F,3,1,207
5,39,RH,4,0,153
6,0,F,4,0,272
6,1,GH,4,1,216
6,2,F,0,1,215
6,3,GH,3,1,201
6,4,F,4,1,192
6,5,RH,4,1,247
6,6,F,0,0,176
6,7,RH,0,0,80
6,8,M,1,1,249
6,9,RH,4,1,223
6,10,F,3,0,137
6,11,GH,1,1,241
6,12,M,5,0,136
6,13,RH,4,1,255
6,14,F,1,0,48
6,15,GH,0,1,200
6,16,M,3,1,199
6,17,RH,4,1,345
6,18,M,2,1,232
6,19,RH,5,1,223
6,20,M,3,1,273
6,21,GH,0,0,15
6,22,F,2,0,192
6,23,RH,2,0,95
6,24,M,4,1,225
6,25,GH,3,0,120
6,26,M,0,0,128
6,27,RH,4,1,232
6,28,M,4,1,208
6,29,RH,2,1,239
6,30,F,1,0,65
6,31,GH,1,1,240
6,32,F,0,0,224
6,33,GH,2,1,224
6,34,F,2,1,224
6,35,RH,3,0,112
6,36,M,4,1,248
6,37,RH,0,1,224
6,38,M,2,1,247
6,39,RH,3,1,273
